id,parent,name,class,status,type,description
F-FUNC,,Toiminnalliset ominaisuudet,Folder,In design,,
F-REG,F-FUNC,Potilaan rekisteröinti ja hallinta,Folder,In design,,
F-APPT,F-FUNC,Ajanvaraus ja vastaanoton hallinta,Folder,In design,,
F-EMR,F-FUNC,Potilaskertomus ja merkinnät,Folder,In design,,
F-ORD,F-FUNC,Tutkimus- ja lääkitysmääräykset,Folder,In design,,
F-LAB,F-FUNC,Laboratoriot ja tulokset,Folder,In design,,
F-BILL,F-FUNC,Laskutus ja raportointi,Folder,In design,,
F-UX-DOCTOR,F-FUNC,Lääkärin ensimmäinen käynti – käyttöliittymä,Folder,In design,,
F-NURSE,F-FUNC,Hoitajien työkalut,Folder,In design,,
F-ADMIN,F-FUNC,Ylläpito ja konfiguraatio,Folder,In design,,
F-NFUNC,,Ei‑toiminnalliset vaatimukset,Folder,In design,,
F-SEC,F-NFUNC,Tietoturva,Folder,In design,,
F-PERF,F-NFUNC,Suorituskyky,Folder,In design,,
F-USAB,F-NFUNC,Käytettävyys,Folder,In design,,
F-MAINT,F-NFUNC,Ylläpidettävyys,Folder,In design,,
F-LEGAL,F-NFUNC,Lainsäädäntö ja auditointi,Folder,In design,,
F-ARCH,F-NFUNC,Tekninen arkkitehtuuri ja asennus,Folder,In design,,
REQ-F-REG-001,F-REG,Potilaan perustietojen rekisteröinti,Requirement,In design,Functional,"<h3>Potilaan perustietojen rekisteröinti</h3><p>Tämä vaatimus määrittelee, mitä f-reg toteuttaa potilastietojärjestelmässä. Vaatimus on muotoiltu testattavasti, niin että toteutuksen valmistuttua voidaan objektiivisesti todentaa toiminnan vastaavuus. Järjestelmän tulee tarjota vain kulloinkin tarvittavat käyttöliittymäkomponentit käsillä olevaan tehtävään sekä tukea roolipohjaista näkyvyyttä lääkäreille, hoitajille ja ylläpidolle.</p><p><strong>Kuvaus:</strong> Alla on täsmennykset.</p><ul><li>Järjestelmä sallii uuden potilaan luomisen kentillä: nimi, henkilötunnus tai syntymäaika+sukupuoli, yhteystiedot, suostumustila, potilaan kieli.</li><li>Kenttien pakollisuudet: nimi ja henkilötunnus tai yhdistelmä (syntymäaika+sukupuoli) ovat pakollisia; muut ovat vapaaehtoisia.</li><li>Henkilötunnus validoidaan formaatin ja tarkistusmerkin osalta; virheellinen arvo estää tallennuksen.</li><li>Duplikaatit tunnistetaan henkilötunnuksen tai yhdistelmäavainten perusteella ja käyttäjälle tarjotaan yhdistämistoiminto.</li><li>Tallennus tuottaa yksilöllisen potilastunnisteen ja aikaleimat.</li></ul><p><strong>Hyväksymiskriteerit:</strong></p><ul><li>Kun käyttäjä suorittaa kuvattuja toimenpiteitä sallituilla syötteillä, järjestelmä tuottaa määritellyn lopputuloksen ilman virheilmoituksia.</li><li>Kun syötteet ovat virheellisiä tai puutteellisia, järjestelmä näyttää selkeän virheilmoituksen, ei tallenna keskeneräisiä tietoja ja ohjaa korjaamaan kentät.</li><li>Toimenpiteen suoritus kestää määritellyn enimmäisajan puitteissa paikallisella Windows-työasemalla, jossa on peruslaitteisto.</li><li>Lokimerkinnät syntyvät jokaisesta liiketoimintatapahtumasta sisältäen ajan, käyttäjän, potilaan tunnisteen ja toimenpiteen.</li></ul><p>Lisäksi toteutuksen tulee noudattaa yhtenäisiä nimikäytäntöjä, saavutettavuusohjeita (WCAG 2.2 AA soveltuvin osin) sekä esitystason ja liiketoimintalogiikan eriyttämistä. Kaikki tekstit ja virheilmoitukset esitetään suomen kielellä ja niille on valmius lokalisointiin. Käyttöliittymän tulee olla responsiivinen 1280×800 pikselistä ylöspäin. Tietorakenteiden kentät, sallitut arvot ja pakollisuudet dokumentoidaan skeemana ja versionoidaan. Toimintojen tulee olla idempotentteja siltä osin kuin se on mahdollista, jotta käyttäjän toistuva painallus ei aiheuta kaksoistallennuksia tai ristiriitoja. Kaikista ulkoisista integraatiokutsuista on oltava aikakatkaisu ja virheenhallinta, vaikka perusasennus toimisi ilman integraatioita.</p>"
